Region;Departement;Commune;Bv
ADAMOUA;FARO ET DEO;TIBATI;MAYO BELI CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;ASSAWE ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;MAYO DANKALI ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;MAYO SANGNARE ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / A
ADAMOUA;FARO ET DEO;TIBATI;MAYO DANKALI ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;NGOURI BARI ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;DJEM-GALIM CENTRE ZOOTECHNIQUE VET. / A
ADAMOUA;FARO ET DEO;TIBATI;LEGGAL GORO ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / B
ADAMOUA;FARO ET DEO;TIBATI;MBABO ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE II / A
ADAMOUA;FARO ET DEO;TIBATI;TONDE WANDOU CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE II / B
ADAMOUA;FARO ET DEO;TIBATI;GARBAYA HAMAN ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE III / B
ADAMOUA;FARO ET DEO;TIBATI;WOGOMDOU ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;MAYO DANKALI ECOLE PUBLIQUE / C
ADAMOUA;FARO ET DEO;TIBATI;NGOURI BARI ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;NGOURI HAMMAN KILA ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;DJAMBOUTOU NASTIRDE ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;DJAMBOUTOU CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;SABONGARI ECOLE DES PARENTS / A
ADAMOUA;FARO ET DEO;TIBATI;SINDERE CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;WOGOMDOU CES / A
ADAMOUA;FARO ET DEO;TIBATI;ASSAWE ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE III / A
ADAMOUA;FARO ET DEO;TIBATI;BONTADJE 2 ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;LEGGAL GORO ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / C
ADAMOUA;FARO ET DEO;TIBATI;TCHABBE KESSE ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;SANGNADJE CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;LOMPTA ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;MBERHI CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;MAYO IWARE CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE III / C
ADAMOUA;FARO ET DEO;TIBATI;DJEM-GALIM ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;BONTADJE 1 ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;LOMPTA ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;GONKIRA ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;LEGGAL GORO ECOLE PUBLIQUE / C
ADAMOUA;FARO ET DEO;TIBATI;TAGOURI VIVRES ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;TIBATI;MBABO ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;GALIM-CENTRE ECOLE PUBLIQUE GROUPE II / C
ADAMOUA;FARO ET DEO;TIBATI;WOGOMDOU ECOLE PUBLIQUE / B
ADAMOUA;FARO ET DEO;TIBATI;MBOUDOUA ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;KONCHA;MAYO BELI CASE COMMUNAUTAIRE / A
ADAMOUA;FARO ET DEO;KONCHA;ASSAWE ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;KONCHA;MAYO DANKALI ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;KONCHA;MAYO SANGNARE ECOLE PUBLIQUE / A
ADAMOUA;FARO ET DEO;KONCHA;GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / A
